vacancies indexes;symmetries
(12, 59);['m_0-11']
(12, 60);['m_101']
(12, 61);['m_0-11']
(12, 62);['m_101']
(12, 64);['m_110']
(12, 65);['m_110']
(12, 66);['m_110']
(12, 67);['m_101']
(12, 72);['m_101']
(12, 74);['m_110']
(12, 75);['m_110']
(12, 76);['m_101']
(12, 80);['m_101']
(12, 83);['m_110']
(12, 85);['m_0-11']
(12, 87);['m_101']
(12, 88);['m_0-11']
(12, 91);['m_0-11']
(13, 14);['m_-110']
(13, 15);['m_0-11']
(13, 17);['m_-101']
(13, 18);['m_0-11']
(13, 21);['m_-101']
(13, 23);['m_-110']
(13, 24);['m_-110']
(13, 25);['m_-110']
(13, 26);['m_-101']
(13, 31);['m_-101']
(13, 33);['m_-101']
(13, 35);['m_-110']
(13, 36);['m_-110']
(13, 37);['m_-101']
(13, 41);['m_0-11']
(13, 42);['m_-101']
(13, 44);['m_0-11']
(13, 46);['m_-110']
(13, 48);['m_-110']
(13, 50);['m_0-11']
(13, 52);['m_-101']
(13, 53);['m_0-11']
(13, 54);['m_0-11']
(13, 55);['m_-101']
(13, 56);['m_0-11']
(13, 58);['m_-110']
(13, 61);['m_0-11']
(13, 63);['m_-101']
(13, 68);['m_-101']
(13, 69);['m_-110']
(13, 70);['m_-110']
(13, 71);['m_-110']
(13, 73);['m_-101']
(13, 79);['m_-101']
(13, 81);['m_-110']
(13, 82);['m_0-11']
(13, 84);['m_-101']
(13, 85);['m_0-11']
(13, 88);['m_0-11']
(13, 89);['m_-101']
(13, 91);['m_0-11']
(13, 92);['m_-110']
(14, 16);['m_011']
(14, 17);['m_0-11']
(14, 19);['2_100']
(14, 23);['m_-110']
(14, 24);['m_-110']
(14, 25);['m_-110']
(14, 34);['m_101']
(14, 35);['m_-110']
(14, 36);['m_-110']
(14, 46);['m_-110']
(14, 47);['m_-110']
(14, 48);['m_-110']
(14, 54);['m_-101']
(14, 58);['m_-110']
(14, 59);['m_-110']
(14, 69);['m_-110']
(14, 70);['m_-110']
(14, 71);['m_-110']
(14, 74);['2_010']
(14, 80);['m_-110']
(14, 92);['m_-110']
(14, 94);['m_-110']
(15, 20);['m_0-11']
(15, 33);['m_-110']
(15, 35);['m_-101']
(15, 41);['m_0-11']
(15, 44);['m_0-11']
(15, 47);['m_0-11']
(15, 50);['m_0-11']
(15, 53);['m_0-11']
(15, 54);['m_0-11']
