[0.75, 0.75, 1.25];	[1.75, 1.75, 0.25];	[('3', '11-1'), ('m', '-110'), ('m', '101'), ('m', '011')]
[0.75, 0.75, 1.25];	[2.0, 2.0, 0.0];	[('3', '11-1'), ('m', '-110'), ('m', '101'), ('m', '011')]
[0.75, 1.25, 0.75];	[1.0, 1.0, 1.0];	[('3', '1-11'), ('m', '-101'), ('m', '011'), ('m', '110')]
[0.75, 1.25, 0.75];	[1.75, 0.25, 1.75];	[('3', '1-11'), ('m', '-101'), ('m', '011'), ('m', '110')]
[0.75, 1.25, 0.75];	[2.0, 0.0, 2.0];	[('3', '1-11'), ('m', '-101'), ('m', '011'), ('m', '110')]
[1.0, 1.0, 1.0];	[1.25, 0.75, 0.75];	[('3', '-111'), ('m', '0-11'), ('m', '101'), ('m', '110')]
[1.0, 1.0, 1.0];	[1.25, 1.25, 1.25];	[('3', '111'), ('m', '0-11'), ('m', '-110'), ('m', '-101')]
[1.0, 1.0, 1.0];	[1.75, 0.25, 1.75];	[('3', '1-11'), ('m', '-101'), ('m', '011'), ('m', '110')]
[1.0, 1.0, 1.0];	[1.75, 1.75, 0.25];	[('3', '11-1'), ('m', '-110'), ('m', '101'), ('m', '011')]
[1.0, 1.0, 1.0];	[2.0, 0.0, 0.0];	[('3', '-111'), ('m', '0-11'), ('m', '101'), ('m', '110')]
[1.0, 1.0, 1.0];	[2.0, 0.0, 2.0];	[('3', '1-11'), ('m', '-101'), ('m', '011'), ('m', '110')]
[1.0, 1.0, 1.0];	[2.0, 2.0, 0.0];	[('3', '11-1'), ('m', '-110'), ('m', '101'), ('m', '011')]
[1.0, 1.0, 1.0];	[2.0, 2.0, 2.0];	[('3', '111'), ('m', '0-11'), ('m', '-110'), ('m', '-101')]
[1.25, 0.75, 0.75];	[2.0, 0.0, 0.0];	[('3', '-111'), ('m', '0-11'), ('m', '101'), ('m', '110')]
[1.25, 1.25, 1.25];	[2.0, 2.0, 2.0];	[('3', '111'), ('m', '0-11'), ('m', '-110'), ('m', '-101')]
[1.75, 0.25, 1.75];	[2.0, 0.0, 2.0];	[('3', '1-11'), ('m', '-101'), ('m', '011'), ('m', '110')]
[1.75, 1.75, 0.25];	[2.0, 2.0, 0.0];	[('3', '11-1'), ('m', '-110'), ('m', '101'), ('m', '011')]
[0.0, 0.0, 0.0];	[0.0, 2.0, 2.0];	[('2', '100'), ('m', '0-11'), ('m', '011')]
[0.0, 0.0, 0.0];	[2.0, 0.0, 2.0];	[('2', '010'), ('m', '-101'), ('m', '101')]
[0.0, 0.0, 0.0];	[2.0, 2.0, 0.0];	[('2', '001'), ('m', '-110'), ('m', '110')]
[0.0, 0.0, 1.0];	[2.0, 2.0, 1.0];	[('2', '001'), ('m', '-110'), ('m', '110')]
[0.0, 0.0, 2.0];	[0.0, 2.0, 0.0];	[('2', '100'), ('m', '0-11'), ('m', '011')]
[0.0, 0.0, 2.0];	[2.0, 0.0, 0.0];	[('2', '010'), ('m', '-101'), ('m', '101')]
[0.0, 0.0, 2.0];	[2.0, 2.0, 2.0];	[('2', '001'), ('m', '-110'), ('m', '110')]
[0.0, 0.5, 0.5];	[0.0, 1.5, 1.5];	[('2', '100'), ('m', '0-11'), ('m', '011')]
[0.0, 0.5, 1.5];	[0.0, 1.5, 0.5];	[('2', '100'), ('m', '0-11'), ('m', '011')]
[0.0, 1.0, 0.0];	[2.0, 1.0, 2.0];	[('2', '010'), ('m', '-101'), ('m', '101')]
[0.0, 1.0, 1.0];	[1.0, 1.0, 1.0];	[('2', '100'), ('m', '0-11'), ('m', '011')]
[0.0, 1.0, 2.0];	[2.0, 1.0, 0.0];	[('2', '010'), ('m', '-101'), ('m', '101')]
[0.0, 2.0, 0.0];	[2.0, 0.0, 0.0];	[('2', '001'), ('m', '-110'), ('m', '110')]
[0.0, 2.0, 0.0];	[2.0, 2.0, 2.0];	[('2', '010'), ('m', '-101'), ('m', '101')]
